medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,pickup_postcode,pickup_neighborhood,pickup_hour,dropoff_postcode,dropoff_neighborhood,dropoff_hour
19FAE36668BDD3B50FCB22BFF6BCE6F7,3507FD423E811A560331455BB51EAC6C,VTS,1,,2013-01-13 04:36:00,2013-01-13 04:55:00,1,1140,5.73,-74.005966,40.735603,-73.951477,40.730431,10014,Greenwich Village,04,11222,Greenpoint,
A70A9BE47211F8F833570AA0CE825314,E2F8CA3C6FA40774C6A3995CA55195E9,VTS,1,,2013-01-13 04:50:00,2013-01-13 04:55:00,1,300,1.97,-73.97467,40.752533,-73.958076,40.765137,10017,Tudor City,04,10021,Upper East Side,
D9F8DF71EE7206FA69A0D5534779FB99,A66ED73B1AFFFC696108B85D9E6C28C8,VTS,1,,2013-01-13 04:33:00,2013-01-13 04:56:00,1,1380,10.54,-73.98671,40.755657,-73.993713,40.661556,10019,Diamond District,04,11232,South Slope,
F3B0E04AF07F5667AD64771DA60BD2FD,0E51FE286E32A7A50318DC8CAC7D1173,VTS,1,,2013-01-13 04:54:00,2013-01-13 04:59:00,3,300,1.42,-74.002113,40.734756,-74.002113,40.734756,10014,Greenwich Village,04,10014,Greenwich Village,
10DF0FA4E3173365168379FE88357130,9133E7B497E3020D5763C6FF144FAF0E,VTS,1,,2013-01-13 04:39:00,2013-01-13 05:00:00,2,1260,6.72,-74.006088,40.739899,-73.935905,40.767899,10014,Fulton Houses,04,11106,Astoria,
2AA525948E036905C904C6E0A8E0F73B,AF0D39F016798651D7EBBF2F59B9F2BD,VTS,1,,2013-01-13 04:44:00,2013-01-13 04:55:00,1,660,5.52,-73.999977,40.761349,-73.949486,40.807747,10036,Hell's Kitchen,04,10027,Harlem,
C23F77A60029CA5EDB54ED9D5F313BF6,16F31610E8D2CFAD2ABDE69B2A2504AD,VTS,1,,2013-01-13 04:40:00,2013-01-13 04:59:00,1,1140,9.86,-73.953629,40.714123,-73.954178,40.635777,11211,Williamsburg,04,11210,Ditmas Park,
6DAC64C4E6C054175093672F2375A27E,94967F2E11A0C611D76A2FF281714A82,VTS,1,,2013-01-13 04:47:00,2013-01-13 04:58:00,4,660,5.66,-73.972946,40.755161,-73.963234,40.71146,10017,Tudor City,04,11249,Williamsburg,
30EB0664C41FF6B0ED5E94855BC9AEF0,592EDCA24273D7759C87BDA3AA3995EF,VTS,1,,2013-01-13 04:50:00,2013-01-13 04:59:00,1,540,2.02,-74.002647,40.739597,-73.977196,40.743088,10014,Fulton Houses,04,10016,Kips Bay,
60F19C9FCCDB3E9A92FAD25CE18B3E54,45DA1701E9EAF9FEA4E58ABF197B712B,VTS,1,,2013-01-13 05:03:00,2013-01-13 05:08:00,1,300,1.66,-73.98893,40.773548,-73.995232,40.752861,10023,Lincoln Towers,05,10001,Hell's Kitchen,
BE92929A5B267910A9A17EAE644A3537,C6C02951E32A42060EDBA9E70AC4D8B6,VTS,5,,2013-01-13 09:15:00,2013-01-13 09:26:00,2,660,7.68,-73.951248,40.810001,-73.864098,40.769741,10027,Harlem,09,11369,East Elmhurst,
188948B47437D569C264DBCDDC07B4A3,3E931D1EE83B03EB2B8B69232F162D97,VTS,1,,2013-01-13 09:04:00,2013-01-13 09:22:00,1,1080,10.50,-73.933342,40.855423,-73.861458,40.768101,10040,Inwood,09,11369,East Elmhurst,
ADA92BBD4549E1FF9E1FB480B3BBE9D5,886EB2E7FD7D8F13261D4D140254D011,VTS,1,,2013-01-13 09:21:00,2013-01-13 09:27:00,5,360,1.66,-73.980278,40.765362,-73.99826,40.760914,10019,Diamond District,09,10036,Hell's Kitchen,
A5B75D2E069A012D9D77088FA5BC38F4,501C5265C80AB7B786045C9B9C0A3B98,VTS,1,,2013-01-13 09:14:00,2013-01-13 09:25:00,1,660,2.79,-73.987968,40.743851,-74.010857,40.717056,10001,Koreatown,09,10014,Tribeca,
A506888A914B08DDA4C1FD8649BA3C28,BC461D58CFAEB31209EECD8BC53C3E8A,VTS,1,,2013-01-13 09:09:00,2013-01-13 09:26:00,1,1020,10.29,-73.990944,40.755299,-73.875534,40.771442,10018,Koreatown,09,11369,East Elmhurst,
D225B988186CB582C18391E1FE074B93,8055C6124C4D8C93269DD451F3603CED,VTS,1,,2013-01-13 09:22:00,2013-01-13 09:28:00,2
