medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,pickup_postcode,pickup_neighborhood,pickup_hour,dropoff_postcode,dropoff_neighborhood,dropoff_hour
1B5C0970F2AE8CFFBA8AE4584BEAED29,D961332334524990D1BBD462E2EFB8A4,CMT,1,N,2013-02-08 23:35:14,2013-02-08 23:42:58,1,463,.80,-73.992439,40.724487,-73.984421,40.718903,10013,NoHo,23,10002,Lower East Side,
B42249AE16E2B8E556F1CB1F940D6FB4,D4BB308D1F3FCB3434D9DB282CDC93D7,CMT,1,N,2013-02-07 12:20:16,2013-02-07 12:50:27,4,1810,3.10,-73.989494,40.769588,-73.990303,40.737347,10019,Midtown West,12,10003,Flatiron,
890699222C47C09FBC898758CEC69762,6318C3AEC02248928C3345B5805EB905,CMT,1,N,2013-02-08 08:56:54,2013-02-08 08:59:43,1,168,1.00,-73.963036,40.799141,-73.972168,40.786446,10025,Park West Village,08,10025,Upper West Side,
74B7D835C2CD98606D5256DA8A38E045,D5E278C918256D1F97680A1F04D290E0,CMT,1,N,2013-02-08 09:37:02,2013-02-08 09:50:50,1,828,2.10,-73.987953,40.728764,-74.007118,40.705399,10003,East Village,09,10005,Southbridge Towers,
4003B8478418FEC5D761E2F37602769B,0B766F1054A5C16D86BC023858BD8143,CMT,1,N,2013-02-08 19:31:25,2013-02-08 19:46:23,1,897,3.30,-73.987282,40.743042,-74.010284,40.703964,10010,Rose Hill,19,10004,Southbridge Towers,
D72DF7B12201912BFDBB93081EF04C96,AFD828EEF790A2485BBB0B568A8BE22E,CMT,1,N,2013-02-08 23:10:01,2013-02-08 23:46:15,4,2173,7.60,-73.993004,40.720154,-73.959747,40.80854,10002,Little Italy,23,10040,Morningside Heights,
FA5337E245DE9B2E124AFA735B41B4DF,6E6B7D73303D5AE3808A9ABF4D3FF65B,CMT,1,N,2013-02-07 22:02:30,2013-02-07 22:06:18,1,227,.70,-73.979965,40.780544,-73.971489,40.78241,10023,Upper West Side,22,10024,Upper West Side,
BE63343BAD5CD6F99EC435812E332445,88CF6CAA78CE8B2000FBCF39DFAB3E69,CMT,1,N,2013-02-06 22:25:26,2013-02-06 22:41:32,1,966,3.80,-73.978508,40.759911,-74.003899,40.715969,10019,Diamond District,22,10013,Tribeca,
58598FD2F8811C4F52A264D15D6FECAF,F6F9DF7755F186C183EEBB5B03DBA23C,CMT,1,N,2013-02-09 02:57:33,2013-02-09 03:01:41,3,247,.50,-73.982338,40.751549,-73.976425,40.74905,10018,Diamond District,02,10016,Murray Hill,
FE13CDF111CE4A3811F3E5D942BFD3B9,BAC511461590FAF7D7BB4C8F29C31AC5,CMT,1,N,2013-02-09 09:43:39,2013-02-09 09:49:10,1,331,2.60,-74.005486,40.740463,-73.985565,40.773209,10014,Fulton Houses,09,10023,Lincoln Towers,
