medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,pickup_postcode,pickup_neighborhood,pickup_hour,dropoff_postcode,dropoff_neighborhood,dropoff_hour
A614810E4C8DB5D24EF62F55995648BD,BCF6A9D98B89D59FC37DE105CB64CD37,VTS,1,,2013-02-01 14:29:00,2013-02-01 14:51:00,5,1320,2.08,-74.00293,40.740097,-73.981712,40.758675,10014,Fulton Houses,14,10019,Diamond District,
DA2CB8B7E1244CC63CC529D3D861588D,32E395106D9B0F370B69E1053AA32A9D,VTS,1,,2013-02-01 14:30:00,2013-02-01 14:55:00,1,1500,3.96,-73.95417,40.770191,-73.996841,40.753666,10021,Yorkville,14,10001,Hell's Kitchen,
36EDC01D57A6489E2DEE50734ECB327D,DDE077E4EFC40F851BAE83AC8019D910,VTS,1,,2013-02-01 14:22:00,2013-02-01 14:30:00,5,480,1.06,-73.993492,40.752232,-73.979927,40.753078,10001,Hell's Kitchen,14,10017,Murray Hill,
E7C63C1AB5FFB109DF6A036ADC7C98A2,35B25CF2A18CD7F8CDF02F40CCA2F1C2,VTS,1,,2013-02-01 14:26:00,2013-02-01 14:47:00,1,1260,10.01,-73.863853,40.770058,-73.956825,40.769558,11369,East Elmhurst,14,10021,Upper East Side,
E386B8099BCA2EAAB9A4D9B933829A28,BCD228CCC8B945C745D3AE19E5F4D349,VTS,1,,2013-02-01 14:06:00,2013-02-01 14:29:00,1,1380,4.55,-73.988884,40.768669,-73.938972,40.804642,10019,Midtown West,14,10035,East Harlem,
477E45FF96170082283C8496F190E065,EFD2AE74B66D0B0846F8896F15321E2B,VTS,1,,2013-02-01 14:19:00,2013-02-01 14:33:00,3,840,2.04,-74.003906,40.742931,-73.991241,40.723564,10011,Fulton Houses,14,10002,Little Italy,
A38D671A1B460DEB1CFDF1453F540031,09A32E3B5861376B5247F43F72BCBE9A,VTS,1,,2013-02-01 14:41:00,2013-02-01 14:45:00,1,240,.93,-73.999687,40.711517,-74.004898,40.705391,10038,Southbridge Towers,14,10270,Southbridge Towers,
6667FF102AFCA0CA9135A54264F78144,AAFEBC6CE7385098B0EA5187DB65C882,VTS,1,,2013-02-01 14:25:00,2013-02-01 14:40:00,5,900,2.16,-73.956467,40.783901,-73.976776,40.764271,10128,Yorkville,14,10019,Diamond District,
D41814EBC98E4ED03F5F39F7579DA784,508A9A769B13274BDD87ADA3ECFA09CC,VTS,1,,2013-02-01 14:40:00,2013-02-01 14:50:00,1,600,1.82,-73.966507,40.804546,-73.970573,40.783714,10025,Morningside Heights,14,10024,Park West Village,
0067C755A2988CB8FA17AFCFE987B6A1,BBB738A4E3184BA6F3F4432142CC3EB4,VTS,1,,2013-02-01 14:44:00,2013-02-01 14:52:00,2,480,1.25,-73.995499,40.75983,-73.978485,40.759308,10036,Hell's Kitchen,14,10020,Diamond District,
42730E78D8BE872B52598742914DECFF,F27E65AD27C5104C76F985B666E45F61,VTS,1,,2013-02-01 14:40:00,2013-02-01 14:46:00,5,360,1.52,-73.957489,40.7617,-73.971672,40.750481,10044,Upper East Side,14,10017,Tudor City,
FF02170F5A87EADBAC2124B9FD6109A9,2A8AC767A3BD78F938BB1571B34B08B7,VTS,1,,2013-02-01 14:33:00,2013-02-01 14:44:00,1,660,1.48,-73.971054,40.758205,-73.98732,40.744148,10022,Tudor City,14,10016,Koreatown,
0A415B814A6479EE706972D2FD6DA08A,12A32F655B8C9CE3AC7872477A641974,VTS,1,,2013-02-01 14:05:00,2013-02-01 14:31:00,3,1560,7.38,-73.996834,40.714985,-73.961739,40.779579,10013,Chinatown,14,10028,Upper East Side,
85A0E951DD0D3C758503D5089DBE93A0,BA69ACDD10A82EEF4A9D484CF5739C06,VTS,1,,2013-02-01 14:25:00,2013-02-01 14:39:00,2,840,2.88,-73.991096,40.739792,-74.00882,40.711372,10010,Flatiron,14,10281,Tribeca,
878C0F5D806D720CBFB0EA42FD7FC172,1DF12E1796FCA5041F6F0F17F6A8D045,VTS,1,,2013-02-01 14:36:00,2013-02-01 14:49:00,1,780,1.80,-73.960823,40.769867,-73.98111,40.770988,10021,Upper East Side,14,10023,San Juan Hill,
EE6A63C0AB5588E17AD0E5994110EFAA,9F7D73981A7D31D8333899287AFA41CB,VTS,1,,2013-02-01 14:44:00,2013-02-01 14:54:00,3,600,2.36,-74.014732,40.704739,-73.998184,40.735428,10004,Battery Park City,14,10011,Washington Square Village,
365544F93701F53EA1EF36A9BF3DD677,326880DBF925E1C2202E8253AEC429B5,VTS,1,,2013-02-01 14:52:00,2013-02-01 15:00:00,1,480,.82,-73.996765,40.725288,-74.004288,40.716705,10012,University Village,14,10013,University Village,
2F6EB85DA7DA06D0523846692010C631,B016CE8A97FD71A9483EB9CA85375A43,VTS,1,,2013-02-01 14:28:00,2013-02-01 14:47:00,1,1140,5.03,-73.978226,40.736992,-73.933632,40.794346,10010,Kips Bay,14,10029,East Harlem,
BB02801F232FE86D4F1897BAF69D4AA8,76161B31E25157FEAE86D0CD8D454C5C,VTS,1,,2013-02-01 14:32:00,2013-02-01 14:45:00,1,780,1.06,-73.975471,40.733147,-73.981819,40.74313,10010,Stuyvesant Town,14,10016,Tudor City,
7811BF9359B98413A063A18FC77111ED,147374FDEEFE9EBD8E034F859109058B,VTS,1,,2013-02-01 14:31:00,2013-02-01 14:37:00,1,360,.71,-73.986084,40.757999,-73.977592,40.760494,10019,Diamond District,14,10019,San Juan Hill,
FB3827A1DE764DA796EE21D5243FB845,F4C80EB27F0534B33858AE6BE88E3DB4,VTS,1,,2013-02-01 14:37:00,2013-02-01 14:47:00,3,600,1.44,-74.000381,40.732491,-73.983147,40.738651,10014,Greenwich Village,14,10010,East Village,
76A8CE8D32AC924A12C7BC374C0BAE7C,26417D32D4CE402135D6101CE73B28F1,VTS,1,,2013-02-01 14:27:00,2013-02-01 14:33:00,1,360,1.42,-73.964287,40.764812,-73.952087,40.773216,10065,Upper East Side,14,10075,Yorkville,
F0BC746C7DD8C0BC96C3669A3C0D417C,FBE7278FC2F22772363991CA1C557E97,VTS,1,,2013-02-01 14:24:00,2013-02-01 14:32:00,1,480,1.32,-73.984589,40.742531,-73.991837,40.726944,10016,Rose Hill,14,10012,NoHo,
B90A11E17F5E0989B2C498BEEE0F1B9D,1774DDDCC13472F7AA50A4C0C7AEDC5D,VTS,1,,2013-02-01 14:10:00,2013-02-01 14:31:00,1,1260,.35,-73.948158,40.770561,-73.993149,40.752003,10075,Yorkville,14,10001,Hell's Kitchen,
