medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,pickup_postcode,pickup_neighborhood,pickup_hour,dropoff_postcode,dropoff_neighborhood,dropoff_hour
2A7C1AF76D40C1D22AFD91EB8D4D7BAF,90D20645ECF40E331193733DCC9F7247,VTS,1,,2013-01-13 22:24:00,2013-01-13 22:37:00,5,780,3.21,-73.977165,40.74308,-74.007339,40.711887,10016,Kips Bay,22,10038,Tribeca,
AB4F8FB6109800A8FE7472079BD29C9E,E107CC6BB39F11041D20323137DD9F85,VTS,1,,2013-01-13 22:29:00,2013-01-13 22:40:00,1,660,5.30,-74.004349,40.707458,-73.980347,40.750908,10038,Southbridge Towers,22,10016,Murray Hill,
C69BEA5032C8AE6B821F9D19ACFAD2A9,BB548CCA7DEDBF8112CF26C9F62FEF19,VTS,1,,2013-01-13 22:38:00,2013-01-13 22:42:00,1,240,.81,-73.95031,40.771519,-73.959335,40.774384,10075,Yorkville,22,10075,Yorkville,
B5CB39197E4229E6DA9AE90689BFAFAA,2EDBDB21CAF8826DA8112FA11D33AF0A,VTS,1,,2013-01-13 22:29:00,2013-01-13 22:40:00,1,660,2.36,-73.985115,40.718845,-73.961746,40.713848,10002,Lower East Side,22,11249,Williamsburg,
4F27A247F9AAC6074F695255BA30164C,CFB4AA1CC4AF311EC925C5EF2F3BBB48,VTS,1,,2013-01-13 22:40:00,2013-01-13 22:44:00,1,240,1.00,-74.000099,40.742931,-73.991646,40.754711,10011,Chelsea,22,10018,Hell's Kitchen,
B73051DF7093FABD082CF7B4DE32F190,AE87C2EF09CCC3391AF4C769872A52DE,VTS,1,,2013-01-13 22:40:00,2013-01-13 22:42:00,2,120,.58,-73.990051,40.738483,-73.992348,40.743576,10003,Flatiron,22,10001,Flatiron,
7861B104053AAA85FD4914E9D021F084,993589DE582F0281C92EDF250794522D,VTS,1,,2013-01-13 22:18:00,2013-01-13 22:41:00,1,1380,4.93,-73.993324,40.692558,-74.000099,40.744293,11201,Cobble Hill Historic District,22,10011,Chelsea,
7DE23E40957A142A827081FA19EEC829,92062D924B1465FA8F194B27BFC59611,VTS,1,,2013-01-13 22:35:00,2013-01-13 22:42:00,1,420,1.82,-73.988724,40.745815,-74.002579,40.751915,10001,Koreatown,22,10001,Chelsea,
C7C586831A57EACC5CE0D157D7E3617D,9EA84FBE846909C0C7E851645CAC73C5,VTS,1,,2013-01-13 22:36:00,2013-01-13 22:44:00,2,480,2.09,-73.989868,40.757545,-73.987213,40.739685,10036,Hell's Kitchen,22,10010,Rose Hill,
65C6171C49705F67A5C1037F34A37B15,68DAEEE6A0BF053BD22DAB618A08AC86,VTS,1,,2013-01-13 22:40:00,2013-01-13 22:44:00,1,240,.84,-73.989914,40.741749,-73.981163,40.750175,10011,Chelsea,22,10016,Murray Hill,
9254771E597A41205E215EDA8541D220,BAC146F5AA74DE3040A5D53572EA663A,VTS,1,,2013-01-13 22:26:00,2013-01-13 22:45:00,1,1140,14.21,-73.776726,40.645256,-73.738678,40.749977,11010,,22,11362,Little Neck,
BCAA1BCD5FEF28DF9570F579ECACC6AB,54476D8F8B6BC57FF12FD6D3DDBECC6A,VTS,1,,2013-01-13 22:41:00,2013-01-13 22:48:00,1,420,2.38,-73.959175,40.712074,-73.986397,40.726036,11211,Williamsburg,22,10003,East Village,
72B830832E707F6C8079F4425F541F68,1CB856D4C92333A067196E23D73AF876,VTS,1,,2013-01-13 22:35:00,2013-01-13 22:42:00,6,420,2.53,-73.966843,40.794029,-73.9888,40.76379,10025,Park West Village,22,10019,Midtown West,
98FFE2484D80103D2C84770CD9FC95B3,75CF83A1091D51E92D831DC2054D9308,CMT,1,N,2013-01-18 20:13:22,2013-01-18 20:18:41,1,319,.90,-73.980644,40.738586,-73.99295,40.736504,10010,Kips Bay,20,10003,Flatiron,
02CDF4B814C18DE3898FDA761EA8A5B4,08091A8B9397002570863FD55E2D6133,VTS,1,,2013-01-13 22:41:00,2013-01-13 22:45:00,2,240,.82,-73.985321,40.760536,-73.98037,40.760014,10019,San Juan Hill,22,10020,Diamond District,
1431E056A35F588107E3BC378BB6B350,1BF3CE47ECE4C2B61C36990EDAEE7CC2,VTS,1,,2013-01-13 22:16:00,2013-01-13 22:43:00,1,1620,12.48,-73.78965,40.644051,-73.961555,40.655064,11010,,22,11226,Flatbush,
B0E3A2CF1A7FDC886F9C776301C42F5B,BBD399EF306BABDDE982A8182AEDDC37,VTS,1,,2013-01-13 22:36:00,2013-01-13 22:47:00,1,660,1.81,-74.007813,40.744572,-73.988396,40.759003,10011,Fulton Houses,22,10036,San Juan Hill,
A11B604A46C955FDA3C71C7DAB6235B4,4D9ACC75B1E9BBC50B9C6A4F7516D3F2,VTS,1,,2013-01-13 20:18:00,2013-01-13 20:29:00,1,660,2.35,-73.991188,40.751251,-73.965118,40.763416,10001,Hell's Kitchen,20,10065,Upper East Side,
57DB2B9F664268BAEEE62CC12F34F18C,1EBB2C38572ADD0727608BEA6D27F038,VTS,1,,2013-01-13 20:32:00,2013-01-13 20:33:00,1,60,.47,-73.977226,40.784622,-73.972786,40.790504,10024,Park West Village,20,10024,Upper West Side,
C57AF8367A94E1AE89AE6F8D5B78C492,C08A80B576E85F90E66670833159167E,VTS,1,,2013-01-13 20:21:00,2013-01-13 20:28:00,1,420,2.21,-73.974976,40.75021,-73.952324,40.772739,10017,Murray Hill,20,10075,Yorkville,
659E458DAB4994068BDE5379AA02B621,267A2FD3D357C630EF090474F4F5FCEA,VTS,2,,2013-01-13 19:56:00,2013-01-13 20:29:00,6,1980,17.97,-73.783348,40.6488,-73.984932,40.768513,11010,,19,10019,San Juan Hill,
EACCD52D3245E066B1DB3A86979CDC00,BE9C9FBEB34BEE40A1940BEA2051D1A8,VTS,1,,2013-01-13 20:27:00,2013-01-13 20:31:00,1,240,1.26,-73.960464,40.778553,-73.971375,40.766056,10028,Upper East Side,20,10065,Diamond District,
